	_id	challenge_id	community_id	participant_id	type	metrics.stderr	metrics.value	metric	window_size	site_set
0	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Sum_FP_TPM:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	770909.92	Sum_FP_TPM	100	
1	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Percent_FP_TPM:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	93.01950732367462	Percent_FP_TPM	100	
2	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Sensitivity:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.15593427900806206	Sensitivity	100	
3	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Precision:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.11919806537171386	Precision	100	
4	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:F1_score:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.1351136263153241	F1_score	100	
5	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Jaccard_index:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.07245139876718824	Jaccard_index	100	
6	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Pearson_r:all_GT:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.22070820623728	Pearson_r	100	all_GT
7	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Spearman_r:all_GT:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.1949526134672956	Spearman_r	100	all_GT
8	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Pearson_r_relative:all_GT:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.0661022369997126	Pearson_r_relative	100	all_GT
9	APAeval:MmusCortex_adult_R2.all.mm10:APAtrap:Spearman_r_relative:all_GT:100nt	MmusCortex_adult_R2.all.mm10	APAeval	APAtrap	assessment	0	0.02649342127674053	Spearman_r_relative	100	all_GT
